ReactionID,ReactionName,ReactionSubSystem,minFluxWT,maxFluxWT,minFluxMUT,maxFluxMUT
RBC_h,"RuBisCO","Calvin-Benson cycle",18.2780869177597,18.2780869177597,16.8718764414731,17.0384757687803
PGAK_h,"PGA kinase","Calvin-Benson cycle, glycolysis",49.8839009613557,49.8839009613557,45.4885639077378,45.7414497429885
FBPA_h,"FBP aldolase","Calvin-Benson cycle, glycolysis",2.72472077819076,2.89783888484824,1.88640938461926,2.62063376919659
FBPase_h,"FBPase","Calvin-Benson cycle, glycolysis",2.72472077785717,2.89783888410918,1.88640938109073,2.62063376508685
FTK_h,"F6P transketolase","Calvin-Benson cycle, pentose phosphate pathway",7.78062022944429,7.78062022944429,7.18112897472656,7.25148152874597
SBPA_h,"SBP aldolase","Calvin-Benson cycle",7.64077715117836,7.81389526428702,6.82687622852768,7.54546321208762
SBPase_h,"SBPase","Calvin-Benson cycle",7.64077715117836,7.81389526428702,6.82687622852768,7.54546321208762
STK_h,"S7P transketolase","Calvin-Benson cycle, pentose phosphate pathway",7.7273362518902,7.7273362518902,7.13305639749997,7.20358344662269
Ru5PE_h,"Ru5P epimerase","Calvin-Benson cycle, pentose phosphate pathway",15.5079564816216,15.5079564816216,14.3141853721181,14.455239470782
R5PI_h,"R5P isomerase","Calvin-Benson cycle, pentose phosphate pathway",7.70521390449816,7.70521390449816,7.11309770952757,7.18362475884094
Ru5PK_h,"Ru5P kinase","Calvin-Benson cycle",23.2131703855584,23.2131703855584,21.427283081092,21.638864229838
StS_h2,"starch synthase","starch synthesis",0.121050087753503,0.125640259814159,0.129306087395795,0.356871481830768
StP1_h,"(starch) phosphorylase","starch degradation",0,0.00138866918708387,0.0147035110791937,0.247657228704779
CeS_c1,"cellulose synthase","cellulose synthesis",0.148075130332586,0.148090539563692,0.133592752443834,0.135886998781942
CeS_c2,"cellulose synthase","cellulose synthesis",0.148075130332586,0.148090539563692,0.133592752443834,0.135886998781942
PGAK_c,"PGA kinase","gluconeogenesis, glycolysis",-9.9469386109885,-9.94203905258116,-8.72403668855829,-8.33282401745181
GAPDH2_c,"GAP dehydrogenase","gluconeogenesis, glycolysis",9.94203905256359,9.94588512907505,8.33282401662334,8.72403669117269
PyrDH1_m,"Pyr dehydrogenase","pyruvate decarboxylation",0.240679752535107,0.244236478655141,0.135997517199175,0.212498856780034
PyrDH2_m,"Pyr dehydrogenase","pyruvate decarboxylation",0.240679752535107,0.244236478655141,0.135997517199175,0.212498856780034
DHLAcT_m,"DHL acetyltransferase","pyruvate decarboxylation",0.240679752535107,0.244236478655141,0.135997517199175,0.212498856780034
DHLDH2_m,"DHL dehydrogenase","pyruvate decarboxylation, tricarboxylic acid cycle",0.240679752534111,0.24421079292783,0.135997517354112,0.212498856726075
CitS_m,"Cit synthase","tricarboxylic acid cycle, glyoxylate cycle",0.240679752533341,0.244236476773195,0.135997517199207,0.212498856726673
cplx2_m,"SCA dehydrogenase (Q)","tricarboxylic acid cycle, oxidative phosphorylation",0.0843521481490189,0.0879088724027504,0.0246738723793669,0.071460756745045
cplx1_m,"NADH dehydrogenase (Q)","oxidative phosphorylation",5.09995721643234,5.11120807803154,8.13447629988432,8.52200170897853
cplx3_m,"Cytc reductase","oxidative phosphorylation",5.18520702077968,5.20001461522333,8.15996003355493,8.54748543877388
cplx4_m,"Cytc oxidase","oxidative phosphorylation",2.59260351038984,2.60000730761166,4.07998001677747,4.27369871925149
cplx5_m,"ATP synthase","oxidative phosphorylation",12.8777677475221,12.91087038777,20.3744163504223,21.3432298693751
RBO_h,"RuBisCO","photorespiration",4.93508346779499,4.93508346779499,4.55540663932144,4.60050150375747
PGP_h,"PGCA phosphorylase","photorespiration",4.93508346779499,4.93508346779499,4.55540663932144,4.60050150375747
GCAO_x,"GCA oxidase","photorespiration",4.93056886886883,4.93451980491148,0,0.164928450147594
CAT_x,"Catalase","photorespiration",2.46528443443441,2.46725990245567,0,0.0824642249476781
GGAT_x,"Glu:GLX aminotransferase","photorespiration, glycine synthesis",4.93056886886218,4.93451980500995,0,0
GlyDH_m,"Gly dehydrogenase","photorespiration",0.0850120267336485,0.088543065241983,0.0125924936698462,0.0720560964306875
AMT_m,"Aminomethyltransferase","photorespiration",0.0850120267336485,0.088543065241983,0.0125924936698462,0.0720560964306875
DHLDH1_m,"DHL dehydrogenase","photorespiration",0.0850120267336485,0.088543065241983,0.0125924936698462,0.0720560964306875
GlyHMT_m,"Gly hydroxymethyltransferase","photorespiration",0.0850120267336485,0.088543065241983,0.0125924936698462,0.0720560964306875
DAHPS_h,"DAHP synthase","Shikimate pathway",0.0532839773763926,0.053311915980319,0.0480725773357385,0.0524033630833634
DHQS_h,"DHQ synthase","Shikimate pathway",0.0532839773763926,0.053311915980319,0.0480725773357385,0.0524033630833634
DHQDH_h,"DHQ dehydratase","Shikimate pathway",0.0532839773763926,0.053311915980319,0.0480725773357385,0.0524033630833634
SADH_h,"SA dehydrogenase","Shikimate pathway",0.0532839773763926,0.053311915980319,0.0480725773357385,0.0524033630833634
SAK_h,"SA kinase","Shikimate pathway",0.0531296529374448,0.0531579697974207,0.0479333465745242,0.0522641323641004
EPSPS_h,"EPSP synthase","Shikimate pathway",0.0531296529374448,0.0531579697974207,0.0479333465745242,0.0522641323641004
CHRS_h,"CHR synthase","Shikimate pathway",0.0531296529374448,0.0531579697974207,0.0479333465745242,0.0522641323641004
PyrPiDK_h,"Pyr phosphate dikinase","pyruvate metabolism",-0.465449678045976,-0.462758668166373,-0.449057764710397,-0.329540814710969
iCitDHNADP_c,"iCit dehydrogenase","pyruvate metabolism",0.223467464697185,0.231573791275129,0.119755343545222,0.201074635796443
ACoAS_h,"A-CoA synthetase","actyl-coenzyme A synthesis",0.395681548093194,0.396025719462134,0.356982208744085,0.386696663103339
ACoAC_h,"A-CoA carboxylase","fatty acid synthesis",0.317393760272012,0.317471626226145,0.286351299829699,0.303168967167991
ACPM_h,"M-CoA:ACP malonyltransferase","fatty acid synthesis",0.317393760272012,0.317471626226145,0.286351299829699,0.303168967167991
DHFR_c,"Dihydrofolate reductase","THF recycling",0.000281925547855702,0.000281925547855702,0.000254352029524575,0.000254352029524575
TRXR_c,"Thioredoxin reductase","TRX recycling",0.000874408276406019,0.000874408276406019,0.000788887425877386,0.000790466780083346
NO3R1_c,"NO3 reductase","nitrate assimilation",0.0269012457410999,0.0330840375875773,0,0.0173692824140002
NO2R_h,"Fd-NO2 reductase","nitrate assimilation",0.0312423556604458,0.0330840375921909,0,0.0173692822372512
HCO3DHA_h,"HCO3 dehydratase","carbon fixation",0.34983785616792,0.349915722202148,0.315622225079218,0.332439892443284
AlaTA_m,"Ala transaminase","alanine synthesis",4.97097851121021,5.06126995969548,0.0943148996900673,0.496672779621259
AlaTA_x,"Ala transaminase","alanine synthesis",-4.97352831407948,-4.96366216151346,0,0
AspAT_h,"Asp aminotransferase","aspartate synthesis",0.564867342526419,0.565326903939165,0.496531013272323,0.539439471609563
GluDH2NAD_m,"Glu dehydrogenase","glutamate degradation",0,0.043279550186055,3.10920547124551,5.07358702006749
GluDC_c,"Glu decarboxylase","glutamate degradation",0.0847920807569755,0.0883488050380069,0.0123940593632778,0.0718576623117095
SCASeADH_m,"SCA-SeA dehydrogenase","glutamate degradation",0.084753825245345,0.0883105494735591,0.0123595453777758,0.0718231483798489
GlnS_h,"Gln synthetase","glutamine synthesis",0.935566122351553,0.939315693248997,5.44468448790847,5.53851062788295
