Row,minFlux_FVA_WT,maxFlux_FVA_WT,minFlux_FVA_Mut,maxFlux_FVA_Mut,minFlux_TVA_WT,maxFlux_TVA_WT,minFlux_TVA_Mut,maxFlux_TVA_Mut
PSII_h,16.0714125000006,16.0714285714286,23.8548969110738,23.8549207659955,23.8310658406331,23.8549207659955,22.4337296270358,22.5939362834163
Cytb6f_h,32.1428250000012,32.1428571428571,47.7097938221475,47.7098415319909,47.6621316812662,47.7098415319909,44.8674592540715,45.1881216053324
PSI_h,64.2856500000024,64.2857142857143,95.4195876442951,95.4196830639819,95.3242633625325,95.4196830639819,89.734918508143,90.375745133672
Fd-NADPR_h,0,28.6605877136729,0,42.2552638777941,43.4344334942446,47.7098415319909,41.6329888164949,42.1648117187208
ATPase_h,13.775496428572,13.7755102040816,20.4470544952061,20.4470749422818,20.4266278633998,20.4470749422818,19.2289111088878,19.3663378308697
RBC_h,9.93151549166812,9.93172829057122,19.2614483736115,19.2618192421531,16.9447335451359,16.9681462308655,13.6645416214773,13.672679408426
PGAK_h,26.868251190161,26.8683882407297,38.6644360356052,38.6652133084331,46.2461165080781,46.3983137134002,40.6202758429024,41.1890022437183
GAPDH1_h,0,1000,0,1000,43.9480032898909,47.2237589320361,40.0456463684735,40.67392822222
TPI_h,-986.171608498993,1000,-981.339342087802,1000,8.08659576061673,16.5939984972212,7.51097992613922,8.0175691998222
FBPA_h,-4.13265390544204e-05,8.76664442388341,-7.83804536839128e-05,13.4967816329063,-0.0150553106313603,5.97269681543605,0.347338842219125,2.18416322154636
FBPase_h,0,8.7666444239032,0,13.4967816329166,0,5.97269728095786,2.2273774153414,2.98502686645867
FTK_h,4.28071646390312,4.28080718716337,6.52333305106928,6.52345667391277,7.21303806105362,7.22294942980349,5.81834118370067,5.82250983716265
SBPA_h,0,8.76664442390254,0,13.4967816329166,3.79714576656833,9.76984314764269,5.59333000967321,7.25834726966482
SBPase_h,0,8.76664442390254,0,13.4967816329166,3.79714576656833,9.76984314764269,5.59333000967321,7.25834726966482
STK_h,4.22285693368667,4.22294765694894,6.39639807662111,6.39652169947562,7.16364105342556,7.17355242253529,5.77857383719475,5.78274249065649
Ru5PE_h,8.50357339759088,8.5037548441185,12.9197311276874,12.9199783733909,14.3766791127158,14.3965018535312,11.5969150214457,11.6052523278191
R5PI_h,4.19883491625588,4.19892563951266,6.34369743841181,6.34382106127205,7.14313249042636,7.15304386038169,5.7618517951553,5.76623195403766
Ru5PK_h,12.7024083138435,12.7026804836035,19.2634285661189,19.2637994346585,21.5198116031507,21.5495457118913,17.358978323231,17.3714842818569
PGI_h,-8.50375484411707,0.262930906302694,-12.9200289734287,0.576831039936723,-4.84462340000482,-4.60683596061248,-4.09427240177399,-3.668744689322
PGM_h,0.262889579771727,0.262930906307818,0.576739596070685,0.576831039934598,0.224439405705407,0.27118198843408,0.180686242192344,0.460408144405684
AGPase_h,0.262889579771727,0.262930906308264,0.576739596070685,0.576831039935701,0.224439405705407,0.284026906398092,1.78614238280404,2.12657251037201
StS_h1,0.13029168405408,0.130333010590617,0.285840059914009,0.28593150377796,0.11123525003481,0.130263743441259,0.0895505816589832,0.206064388628461
StS_h2,0.131444789885864,0.131486116417595,0.288369798035342,0.28846124190161,0.112219702852703,0.171742525038274,1.64807707838228,2.01435282248637
StS_h3,0.00115310583178392,0.0011944323629018,0.00252973812133322,0.0026211819877287,0.000984452817893145,0.0378807970664964,0.00079253943718891,0.17419904862562
bAMY1_h,0,4.13265380450629e-05,0,9.14438677730427e-05,0,0.0190284934073268,0,0.116513929582508
bAMY2_h,0.00111177929777474,0.00119443236374224,0.00243829425363123,0.00262118198743027,0,0.0378807970609981,0,0.169862133490589
DPE11_h,0,4.13265380450629e-05,0,9.14438677730427e-05,0,0.0190284934073268,0,0.116513929582508
DPE12_h,0,4.13265319583189e-05,0,9.14438626296032e-05,0,0.0368963442470461,0,0.173329743823865
DPE13_h,0,4.13265317309452e-05,0,9.14438634680437e-05,0,0.0368963442488631,0,0.173214595738622
DPE2_c,0,2.06632659994104e-05,0,4.22048607570764e-05,0,0.0233712919599558,0,0.123916624207963
HEXK_c,0,0.781427375224962,0,0.000274331589319776,0,0.0306706182924024,0,0.234896468301013
StP1_h,0,4.13265405948549e-05,0,7.8380453732485e-05,0,0.054739759135604,1.48413052368662,1.92381755732343
StP21_c,0,2.06632659994104e-05,0,4.22048607570764e-05,0,0.0233712919599558,0,0.123916624207963
TPI_c,-990.870859499374,995.300930446182,-985.707870169272,995.6316913838,-1.68324764314712,6.82415514604361,4.01764064915279,4.52423008668085
FBPA_c,0.362636196732107,9.12932194714772,0.795567663096782,14.2924276764592,5.14090775657242,5.37869519150742,4.09870227521013,4.52422998750966
FBPase_c,0,11.0683823734455,0,15.1185479056322,1.7744124653502,5.67633735948172,4.06158184106478,4.61090535570882
F6PK2_c,0,1.5628547504752,0,0.000548663204654076,0,0.0613412345359619,0,0.108235662444413
F26BPPh_c,0,1.5628547504752,0,0.000548663204654076,0,0.0613412345359619,0,0.108235662444413
PGI_c,0.34376672743491,9.1104524778667,0.754170928744834,14.2510309421114,5.12479813184785,5.36258556675642,4.08573311060535,4.51126047692452
