ReactionID,ReactionName,ReactionSubSystem,minFluxWT,maxFluxWT,minFluxMUT,maxFluxMUT
DHFR_c,Dihydrofolate reductase,THF recycling,9.35668964336528e-05,0.000111563454085745,7.39812406680843e-05,7.39812406680843e-05
CTPP_c,Nucleoside-triphosphatase,nucleotide metabolism,5.45159761181288e-05,6.50015211620093e-05,4.31045562391982e-05,4.31045562391982e-05
CDPR_c,Ribonucleoside-diphosphate reductase,nucleotide metabolism,5.45159761181288e-05,6.50015211620093e-05,4.31045562391982e-05,4.31045562391982e-05
UDPR_c,Ribonucleoside-diphosphate reductase,nucleotide metabolism,9.35668964336528e-05,0.000111563454085745,7.39812406680843e-05,7.39812406680843e-05
dUTPP_c,Deoxyuridine-triphosphatase,nucleotide metabolism,9.35668964336528e-05,0.000111563454085745,7.39812406680843e-05,7.39812406680843e-05
dTMPS_c,Thymidylate synthase,nucleotide metabolism,9.35668964336528e-05,0.000111563454085745,7.39812406680843e-05,7.39812406680843e-05
dTMPK_c,Thymidine monophosphate kinase,nucleotide metabolism,9.35668964336528e-05,0.000111563454085745,7.39812406680843e-05,7.39812406680843e-05
dCDPK_c,Nucleoside-diphosphate kinase,nucleotide metabolism,5.45159761181288e-05,6.50015211620093e-05,4.31045562391982e-05,4.31045562391982e-05
dTDPK_c,Nucleoside-diphosphate kinase,nucleotide metabolism,9.35668964336528e-05,0.000111563454085745,7.39812406680843e-05,7.39812406680843e-05
dUDPK_c,Nucleoside-diphosphate kinase,nucleotide metabolism,9.35668964336528e-05,0.000111563454085745,7.39812406680843e-05,7.39812406680843e-05
Bio_opt,Light limiting biomass,biomass reaction,0.000135054194416449,0.00015931171094982,0.000106784314123763,0.000118649449026403
